Title,Type,BodyPart,Equipment,Level,BodyGroup
Partner plank band row,Strength,Abdominals,Bands,Intermediate,Core
Banded crunch isometric hold,Strength,Abdominals,Bands,Intermediate,Core
FYR Banded Plank Jack,Strength,Abdominals,Bands,Intermediate,Core
Banded crunch,Strength,Abdominals,Bands,Intermediate,Core
Crunch,Strength,Abdominals,Bands,Intermediate,Core
Decline band press sit-up,Strength,Abdominals,Bands,Intermediate,Core
FYR2 Banded Frog Pump,Strength,Abdominals,Bands,Intermediate,Core
Band low-to-high twist,Strength,Abdominals,Bands,Intermediate,Core
Barbell roll-out,Strength,Abdominals,Barbell,Intermediate,Core
Barbell Ab Rollout - On Knees,Strength,Abdominals,Barbell,Intermediate,Core
Decline bar press sit-up,Strength,Abdominals,Barbell,Intermediate,Core
Bench barbell roll-out,Strength,Abdominals,Barbell,Beginner,Core
Barbell Side Bend,Strength,Abdominals,Barbell,Beginner,Core
Seated bar twist,Strength,Abdominals,Barbell,Intermediate,Core
Single-arm landmine pull and press,Strength,Abdominals,Barbell,Intermediate,Core
Barbell Ab Roll Out - Gethin Variation,Strength,Abdominals,Barbell,Intermediate,Core
30 Barbell Floor Wiper,Strength,Abdominals,Barbell,Intermediate,Core
30 Barbell Roll-Out,Strength,Abdominals,Barbell,Intermediate,Core
Decline plate sit-up,Strength,Abdominals,Barbell,Intermediate,Core
KV Barbell Hip Thrust,Strength,Abdominals,Barbell,Intermediate,Core
Advanced Kettlebell Windmill,Strength,Abdominals,Kettlebells,Beginner,Core
Kettlebell Windmill,Strength,Abdominals,Kettlebells,Intermediate,Core
Kettlebell Pass Between The Legs,Strength,Abdominals,Kettlebells,Beginner,Core
Kettlebell 3-point leg extension,Strength,Abdominals,Kettlebells,Intermediate,Core
Double Kettlebell Swing,Strength,Abdominals,Kettlebells,Intermediate,Core
Burpee over kettlebell,Strength,Abdominals,Kettlebells,Intermediate,Core
Kettlebell toe-touch,Strength,Abdominals,Kettlebells,Intermediate,Core
Kettlebell swing,Strength,Abdominals,Kettlebells,Intermediate,Core
Two-way swing,Strength,Abdominals,Kettlebells,Intermediate,Core
Kettlebell crab reach,Strength,Abdominals,Kettlebells,Intermediate,Core
Taylor Single-Arm Kettlebell Swing,Strength,Abdominals,Kettlebells,Intermediate,Core
Holman Kettlebell Up to Elbow Down,Strength,Abdominals,Kettlebells,Intermediate,Core
FYR2 Double-Kettlebell Ski,Strength,Abdominals,Kettlebells,Intermediate,Core
FYR2 Kettlebell Hike,Strength,Abdominals,Kettlebells,Intermediate,Core
FYR2 Kettlebell Cross-Body Catch,Strength,Abdominals,Kettlebells,Intermediate,Core
FYR2 Kettlebell Duck Walk,Strength,Abdominals,Kettlebells,Intermediate,Core
FYR2 Kettlebell Get-Up Reach,Strength,Abdominals,Kettlebells,Intermediate,Core
FYR2 Kettlebell Juggle,Strength,Abdominals,Kettlebells,Intermediate,Core
FYR2 Squat-Clean-Alternating-Press Complex,Strength,Abdominals,Kettlebells,Intermediate,Core
Dumbbell V-Sit Cross Jab,Strength,Abdominals,Dumbbell,Intermediate,Core
Dumbbell spell caster,Strength,Abdominals,Dumbbell,Beginner,Core
Dumbbell side bend,Strength,Abdominals,Dumbbell,Intermediate,Core
Dumbbell crunch,Strength,Abdominals,Dumbbell,Intermediate,Core
Dumbbell Fix Dumbbell Sprawl,Strength,Abdominals,Dumbbell,Intermediate,Core
Dumbbell Fix Alternating Renegade Row,Strength,Abdominals,Dumbbell,Intermediate,Core
Dumbbell Fix Dumbbell Mountain Climber,Strength,Abdominals,Dumbbell,Intermediate,Core
Dumbbell Fix Dumbbell Russian Twist,Strength,Abdominals,Dumbbell,Intermediate,Core
Dumbbell Fix Dumbbell Pull-Over,Strength,Abdominals,Dumbbell,Intermediate,Core
Dumbbell Fix Dumbbell Sit-Up,Strength,Abdominals,Dumbbell,Intermediate,Core
Dumbbell Fix Dumbbell Front Squat,Strength,Abdominals,Dumbbell,Intermediate,Core
