Title,Type,BodyPart,Equipment,Level,BodyGroup,exercise_id,goal_tag,movement_type,equipment_std
Partner plank band row,Strength,Abdominals,Bands,Intermediate,Core,E00000,Endurance,Compound,Bands
Banded crunch isometric hold,Strength,Abdominals,Bands,Intermediate,Core,E00001,Endurance,Isolation,Bands
FYR Banded Plank Jack,Strength,Abdominals,Bands,Intermediate,Core,E00002,Hypertrophy,Isolation,Bands
Banded crunch,Strength,Abdominals,Bands,Intermediate,Core,E00003,Endurance,Isolation,Bands
Crunch,Strength,Abdominals,Bands,Intermediate,Core,E00004,FatLoss,Isolation,Bands
Decline band press sit-up,Strength,Abdominals,Bands,Intermediate,Core,E00005,FatLoss,Compound,Bands
FYR2 Banded Frog Pump,Strength,Abdominals,Bands,Intermediate,Core,E00006,FatLoss,Isolation,Bands
Band low-to-high twist,Strength,Abdominals,Bands,Intermediate,Core,E00007,FatLoss,Isolation,Bands
Barbell roll-out,Strength,Abdominals,Barbell,Intermediate,Core,E00008,FatLoss,Isolation,Barbell
Barbell Ab Rollout - On Knees,Strength,Abdominals,Barbell,Intermediate,Core,E00009,Hypertrophy,Isolation,Barbell
Decline bar press sit-up,Strength,Abdominals,Barbell,Intermediate,Core,E00010,Strength,Compound,Barbell
Bench barbell roll-out,Strength,Abdominals,Barbell,Beginner,Core,E00011,Endurance,Compound,Barbell
Barbell Side Bend,Strength,Abdominals,Barbell,Beginner,Core,E00012,Strength,Isolation,Barbell
Seated bar twist,Strength,Abdominals,Barbell,Intermediate,Core,E00013,Strength,Isolation,Barbell
Single-arm landmine pull and press,Strength,Abdominals,Barbell,Intermediate,Core,E00014,Hypertrophy,Compound,Barbell
Barbell Ab Roll Out - Gethin Variation,Strength,Abdominals,Barbell,Intermediate,Core,E00015,Strength,Isolation,Barbell
30 Barbell Floor Wiper,Strength,Abdominals,Barbell,Intermediate,Core,E00016,Hypertrophy,Isolation,Barbell
30 Barbell Roll-Out,Strength,Abdominals,Barbell,Intermediate,Core,E00017,Endurance,Isolation,Barbell
Decline plate sit-up,Strength,Abdominals,Barbell,Intermediate,Core,E00018,FatLoss,Isolation,Barbell
KV Barbell Hip Thrust,Strength,Abdominals,Barbell,Intermediate,Core,E00019,FatLoss,Compound,Barbell
Advanced Kettlebell Windmill,Strength,Abdominals,Kettlebells,Beginner,Core,E00020,FatLoss,Isolation,Kettlebell
Kettlebell Windmill,Strength,Abdominals,Kettlebells,Intermediate,Core,E00021,FatLoss,Isolation,Kettlebell
Kettlebell Pass Between The Legs,Strength,Abdominals,Kettlebells,Beginner,Core,E00022,Endurance,Isolation,Kettlebell
Kettlebell 3-point leg extension,Strength,Abdominals,Kettlebells,Intermediate,Core,E00023,FatLoss,Isolation,Kettlebell
Double Kettlebell Swing,Strength,Abdominals,Kettlebells,Intermediate,Core,E00024,FatLoss,Isolation,Kettlebell
Burpee over kettlebell,Strength,Abdominals,Kettlebells,Intermediate,Core,E00025,FatLoss,Isolation,Kettlebell
Kettlebell toe-touch,Strength,Abdominals,Kettlebells,Intermediate,Core,E00026,FatLoss,Isolation,Kettlebell
Kettlebell swing,Strength,Abdominals,Kettlebells,Intermediate,Core,E00027,Endurance,Isolation,Kettlebell
Two-way swing,Strength,Abdominals,Kettlebells,Intermediate,Core,E00028,FatLoss,Isolation,Kettlebell
Kettlebell crab reach,Strength,Abdominals,Kettlebells,Intermediate,Core,E00029,FatLoss,Isolation,Kettlebell
Taylor Single-Arm Kettlebell Swing,Strength,Abdominals,Kettlebells,Intermediate,Core,E00030,FatLoss,Isolation,Kettlebell
Holman Kettlebell Up to Elbow Down,Strength,Abdominals,Kettlebells,Intermediate,Core,E00031,Endurance,Isolation,Kettlebell
FYR2 Double-Kettlebell Ski,Strength,Abdominals,Kettlebells,Intermediate,Core,E00032,FatLoss,Isolation,Kettlebell
FYR2 Kettlebell Hike,Strength,Abdominals,Kettlebells,Intermediate,Core,E00033,FatLoss,Isolation,Kettlebell
FYR2 Kettlebell Cross-Body Catch,Strength,Abdominals,Kettlebells,Intermediate,Core,E00034,FatLoss,Isolation,Kettlebell
FYR2 Kettlebell Duck Walk,Strength,Abdominals,Kettlebells,Intermediate,Core,E00035,Endurance,Isolation,Kettlebell
FYR2 Kettlebell Get-Up Reach,Strength,Abdominals,Kettlebells,Intermediate,Core,E00036,FatLoss,Isolation,Kettlebell
